macd,signal,hist
3.1868382431,3.1845636639,0.0022745792
3.0283013338,3.1533111978,-0.1250098640
2.8395053863,3.0905500355,-0.2510446492
2.6223368813,2.9969074047,-0.3745705234
2.3789657815,2.8733190801,-0.4943532986
2.1118238508,2.7210200342,-0.6091961834
1.8235803575,2.5415320989,-0.7179517414
1.5171154040,2.3366487599,-0.8195333559
1.1954911504,2.1084172380,-0.9129260876
0.8619212187,1.8591180341,-0.9971968154
0.5197385840,1.5912421441,-1.0715035601
0.1723622722,1.3074661697,-1.1351038975
-0.1767368007,1.0106255756,-1.1873623763
-0.5240705091,0.7036863587,-1.2277568678
-0.8661683697,0.3897154130,-1.2558837827
-1.1996122167,0.0718498871,-1.2714621038
-1.5210703555,-0.2467341614,-1.2743361941
-1.8273308510,-0.5628534994,-1.2644773517
-2.1153336204,-0.8733495236,-1.2419840969
-2.3822010083,-1.1751198205,-1.2070811878
-2.6252665390,-1.4651491642,-1.1601173748
-2.8421015590,-1.7405396432,-1.1015619158
-3.0305395030,-1.9985396151,-1.0319998879
-3.1886975417,-2.2365712004,-0.9521263412
-3.3149953939,-2.4522560391,-0.8627393548
-3.4081711165,-2.6434390546,-0.7647320619
-3.4672937126,-2.8082099862,-0.6590837264
-3.4917724344,-2.9449224758,-0.5468499586
-3.4813626853,-3.0522105177,-0.4291521676
-3.4361684636,-3.1290021069,-0.3071663567
-3.3566413237,-3.1745299503,-0.1821113734
-3.2435758637,-3.1883391330,-0.0552367308
-3.0981017867,-3.1702916637,0.0721898770
-2.9216726125,-3.1205678535,0.1988952410
-2.7160511546,-3.0396645137,0.3236133591
-2.4832919070,-2.9283899923,0.4450980854
-2.2257205159,-2.7878560971,0.5621355811
-1.9459105430,-2.6194669863,0.6735564432
-1.6466577508,-2.4249051392,0.7782473883
-1.3309521687,-2.2061145451,0.8751623764
-1.0019482172,-1.9652812795,0.9633330623
-0.6629331901,-1.7048116616,1.0418784715
-0.3172944092,-1.4273082111,1.1100138019
0.0315146214,-1.1355436446,1.1670582660
0.3800087209,-0.8324331715,1.2124418924
0.7247058550,-0.5210053662,1.2457112212
1.0621619272,-0.2043719075,1.2665338348
1.3890051911,0.1143035122,1.2747016789
1.7019699395,0.4318367976,1.2701331419
1.9979291348,0.7450552651,1.2528738697
2.2739256529,1.0508293426,1.2230963103
2.5272018301,1.3461038401,1.1810979900
2.7552270166,1.6279284754,1.1272985412
2.9557228620,1.8934873528,1.0622355093
3.1266860799,2.1401270982,0.9865589817
3.2664084639,2.3653833713,0.9010250926
