upper,middle,lower
112.4761188684,107.1388637470,102.4761188684
112.8322466001,107.4951211418,102.8322466001
113.1105168440,107.7734922630,103.1105168440
113.3081488876,107.9711957181,103.3081488876
113.4231678178,108.0862561198,103.4231678178
113.4544242618,108.1175238225,103.4544242618
113.4016058769,108.0646864095,103.4016058769
113.2652404724,107.9282718150,103.2652404724
113.0466907334,107.7096430484,103.0466907334
112.7481405998,107.4109845761,102.7481405998
112.3725734347,107.0352804948,102.3725734347
111.9237422036,106.5862847155,101.9237422036
111.4061319594,106.0684834557,101.4061319594
110.8249150120,105.4870504143,100.8249150120
110.1858992277,104.8477950781,100.1858992277
109.4954699786,104.1571046752,99.4954699786
108.7605263204,103.4218803556,98.7605263204
107.9884120387,102.6494682378,97.9884120387
107.1868422533,101.8475860084,97.1868422533
106.3638263136,101.0242458094,96.3638263136
105.5275877584,100.1876741841,95.5275877584
104.6864821380,99.3462298795,94.6864821380
103.8489135227,98.5083203290,93.8489135227
103.0232505299,97.6823176479,93.0232505299
102.2177427118,96.8764749819,92.2177427118
101.4404381357,96.0988440445,91.4404381357
100.6991029829,95.3571946671,90.6991029829
100.0011439675,94.6589371650,90.0011439675
99.3535343502,94.0110482964,89.3535343502
98.7627442849,93.4200015527,88.7627442849
98.2346761934,92.8917024776,88.2346761934
97.7746058132,92.4314296608,87.7746058132
97.3871295062,92.0437819961,87.3871295062
97.0761183530,91.7326327310,87.0761183530
96.8446794934,91.5010907660,86.8446794934
96.6951250946,91.3514695918,86.6951250946
96.6289492613,91.2852641738,86.6289492613
96.6468131136,91.3031360146,86.6468131136
96.7485381854,91.4049065447,86.7485381854
96.9331082062,91.5895589067,86.9331082062
97.1986792504,91.8552481151,87.1986792504
97.5425981520,92.1993194912,87.5425981520
97.9614290012,92.6183351875,87.9614290012
98.4509874588,93.1081085378,88.4509874588
99.0063825454,93.6637458886,89.0063825454
99.6220654892,94.2796954951,89.6220654892
100.2918851456,94.9498029925,90.2918851456
101.0091494344,95.6673728883,91.0091494344
101.7666921829,96.4252354611,91.7666921829
102.5569447071,97.2158183987,92.5569447071
103.3720114184,98.0312224577,93.3720114184
104.2037486986,98.8633003902,94.2037486986
105.0438462579,99.7037383487,95.0438462579
105.8839101628,100.5441389549,95.8839101628
