macd,signal,hist
3.3350087321,3.3405429412,-0.0055342091
3.1667254943,3.3057794518,-0.1390539574
2.9667999112,3.2379835437,-0.2711836325
2.7372296818,3.1378327713,-0.4006030895
2.4803086970,3.0063279564,-0.5260192594
2.1986041198,2.8447831891,-0.6461790693
1.8949307357,2.6548126984,-0.7598819627
1.5723228288,2.4383147245,-0.8659918957
1.2340038649,2.1974525526,-0.9634486877
0.8833542839,1.9346328988,-1.0512786150
0.5238777240,1.6524818639,-1.1286041399
0.1591660152,1.3538186941,-1.1946526790
-0.2071367093,1.0416276134,-1.2487643227
-0.5713704232,0.7190280061,-1.2903984293
-0.9298957769,0.3892432495,-1.3191390264
-1.2791304603,0.0555685076,-1.3346989679
-1.6155849959,-0.2786621931,-1.3369228027
-1.9358976040,-0.6101092753,-1.3257883287
-2.2368677925,-0.9354609787,-1.3014068138
-2.5154883352,-1.2514664500,-1.2640218851
-2.7689753180,-1.5549682236,-1.2140070944
-2.9947959556,-1.8429337700,-1.1518621856
-3.1906938977,-2.1124857956,-1.0782081021
-3.3547117732,-2.3609309911,-0.9937807822
-3.4852107483,-2.5857869425,-0.8994238058
-3.5808869002,-2.7848069341,-0.7960799661
-3.6407842459,-2.9560023964,-0.6847818494
-3.6643042936,-3.0976627759,-0.5666415178
-3.6512120231,-3.2083726253,-0.4428393978
-3.6016382331,-3.2870257469,-0.3146124862
-3.5160782349,-3.3328362445,-0.1832419905
-3.3953869032,-3.3453463762,-0.0500405270
-3.2407701342,-3.3244311278,0.0836609937
-3.0537727965,-3.2702994616,0.2165266650
-2.8362632959,-3.1834922284,0.3472289325
-2.5904149060,-3.0648767639,0.4744618579
-2.3186840541,-2.9156382220,0.5969541678
-2.0237857771,-2.7372677330,0.7134819559
-1.7086665938,-2.5315475052,0.8228809114
-1.3764750639,-2.3005330169,0.9240579530
-1.0305303292,-2.0465324794,1.0160021502
-0.6742889492,-1.7720837733,1.0977948241
-0.3113103647,-1.4799290916,1.1686187269
0.0547786674,-1.1729875398,1.2277662072
0.4203203111,-0.8543259696,1.2746462807
0.7816621994,-0.5271283358,1.3087905353
1.1351939277,-0.1946638831,1.3298578108
1.4773831274,0.1397455190,1.3376376084
1.8048107605,0.4727585673,1.3320521932
2.1142052816,0.8010479101,1.3131573715
2.4024753258,1.1213333933,1.2811419325
2.6667405969,1.4304148340,1.2363257629
2.9043606460,1.7252039964,1.1791566496
3.1129612545,2.0027554480,1.1102058065
3.2904581564,2.2602959897,1.0301621667
3.4350778631,2.4952523644,0.9398254987
